Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
CM062264.1	1245105	1266201	1	minus	Elongation factor-like GTPase 1		0	protein-coding		KAK1891490.1	435	KUDE01_010318
CM062264.1	1298571	1299185	1	minus	Zinc finger MYM-type protein 1		0	protein-coding		KAK1891235.1	204	KUDE01_010063
CM062264.1	1299285	1301641	1	minus	Zinc finger MYM-type protein 1		0	protein-coding		KAK1890642.1	286	KUDE01_009473
CM062264.1	1357686	1384013	1	plus	Ceramide synthase 2		0	protein-coding		KAK1890815.1	399	KUDE01_009646
CM062264.1	1395534	1399595	1	plus	A disintegrin and metalloproteinase with thrombospondin motifs 17		0	protein-coding		KAK1890761.1	156	KUDE01_009592
CM062264.1	1409314	1409688	1	minus	Protein unc-13 like A		0	protein-coding		KAK1891843.1	124	KUDE01_010668
CM062264.1	1425036	1425440	1	minus	Zinc finger protein 618		0	protein-coding		KAK1891654.1	134	KUDE01_010482
CM062264.1	1452781	1528308	1	plus	A disintegrin and metalloproteinase with thrombospondin motifs 17		0	protein-coding		KAK1890831.1	879	KUDE01_009662
CM062264.1	1535452	1535655	1	plus	Protein PRRC2C		0	protein-coding		KAK1891751.1	67	KUDE01_010579
CM062264.1	1568411	1573107	1	plus	Major intrinsically disordered Notch2-binding receptor 1		0	protein-coding		KAK1891599.1	772	KUDE01_010427
CM062264.1	1588749	1589222	1	minus	Calcium-dependent protein kinase 17		0	protein-coding		KAK1891338.1	157	KUDE01_010166
CM062264.1	1602507	1602891	1	plus	Deoxyuridine 5'-triphosphate nucleotidohydrolase		0	protein-coding		KAK1891450.1	98	KUDE01_010278
CM062264.1	1603500	1607927	1	plus	UPF0237 protein NMA1909		0	protein-coding		KAK1891044.1	178	KUDE01_009874
CM062264.1	1609229	1611909	1	plus	Major intrinsically disordered Notch2-binding receptor 1		0	protein-coding		KAK1890875.1	114	KUDE01_009706
CM062264.1	1615211	1615534	1	minus	Zinc finger BED domain containing protein DAYSLEEPER		0	protein-coding		KAK1890854.1	107	KUDE01_009685
CM062264.1	1615696	1616067	1	minus	Zinc finger BED domain containing protein 4		0	protein-coding		KAK1891812.1	123	KUDE01_010638
CM062264.1	1618296	1618589	1	plus	Histone H2B.2 sperm		0	protein-coding		KAK1890600.1	97	KUDE01_009431
CM062264.1	1682557	1683074	1	minus	Envelope glycoprotein C		0	protein-coding		KAK1891458.1	172	KUDE01_010286
CM062264.1	1739788	1743281	1	minus	Toll-interacting protein		0	protein-coding		KAK1891232.1	197	KUDE01_010060
CM062264.1	1745792	1747554	1	plus	Zinc finger protein 862		0	protein-coding		KAK1890856.1	285	KUDE01_009687
CM062264.1	1761130	1774966	1	minus	CUGBP Elav-like family member 1		0	protein-coding		KAK1891192.1	479	KUDE01_010020
CM062264.1	1786117	1791087	1	minus	Methionyl-tRNA formyltransferase mitochondrial		0	protein-coding		KAK1890804.1	345	KUDE01_009635
CM062264.1	1794141	1794512	1	minus	putative AC9 transposase		0	protein-coding		KAK1890977.1	123	KUDE01_009807
CM062264.1	1802546	1825392	1	minus	Alanine aminotransferase 2		0	protein-coding		KAK1891482.1	528	KUDE01_010310
CM062264.1	1837957	1843536	1	minus	UPF0547 protein C16orf87 like		0	protein-coding		KAK1891226.1	154	KUDE01_010054
CM062264.1	1846083	1878504	1	minus	Vacuolar protein sorting-associated protein 35		0	protein-coding		KAK1891675.1	913	KUDE01_010503
CM062264.1	1881847	1886421	1	minus	Fibroblast growth factor 19		0	protein-coding		KAK1890830.1	210	KUDE01_009661
CM062264.1	1920996	1921232	1	plus	LysM domain receptor-like kinase 3		0	protein-coding		KAK1891766.1	78	KUDE01_010593
CM062264.1	1924232	1926102	1	plus	PiggyBac transposable element-derived protein 4		0	protein-coding		KAK1891846.1	536	KUDE01_010671
CM062264.1	1942624	1950667	1	minus	Fibroblast growth factor 4B		0	protein-coding		KAK1891022.1	218	KUDE01_009852
CM062264.1	1958167	1961512	1	minus	Fibroblast growth factor 3		0	protein-coding		KAK1891193.1	241	KUDE01_010021
CM062264.1	2072211	2073099	1	minus	DNA polymerase delta catalytic subunit		0	protein-coding		KAK1891144.1	82	KUDE01_009972
CM062264.1	2137703	2137858	1	minus	G1/S-specific cyclin-D1		0	protein-coding		KAK1891312.1	51	KUDE01_010140
CM062264.1	2138101	2141251	1	minus	G1/S-specific cyclin-D1		0	protein-coding		KAK1891348.1	192	KUDE01_010176
CM062264.1	2148875	2149402	1	plus	Arginine repressor		0	protein-coding		KAK1891051.1	175	KUDE01_009881
CM062264.1	2227497	2228391	1	plus	LINE-1 retrotransposable element ORF1 protein		0	protein-coding		KAK1891901.1	278	KUDE01_010725
CM062264.1	2243015	2248303	1	plus	Aconitate hydratase A		0	protein-coding		KAK1890646.1	179	KUDE01_009477
CM062264.1	2315035	2319406	1	plus	UPF0314 protein		0	protein-coding		KAK1891928.1	245	KUDE01_010752
CM062264.1	2350389	2354420	1	plus	putative arginine kinase F46H5.3		0	protein-coding		KAK1891629.1	160	KUDE01_010457
CM062264.1	2383700	2389211	1	plus	Titin like		0	protein-coding		KAK1891660.1	295	KUDE01_010488
CM062264.1	2391579	2397093	1	minus	G polyprotein		0	protein-coding		KAK1891309.1	585	KUDE01_010137
CM062264.1	2443301	2444689	1	minus	Platelet-activating factor acetylhydrolase IB subunit beta like		0	protein-coding		KAK1890853.1	462	KUDE01_009684
CM062264.1	2521897	2523001	1	minus	52 kDa repressor of the inhibitor of the protein kinase		0	protein-coding		KAK1890662.1	268	KUDE01_009493
CM062264.1	2631244	2634528	1	minus	V-set and transmembrane domain containing protein 2B		0	protein-coding		KAK1891833.1	258	KUDE01_010659
CM062264.1	2757699	2757968	1	minus	General transcription factor II-I repeat domain containing protein 2		0	protein-coding		KAK1890935.1	89	KUDE01_009766
CM062264.1	2774844	2776947	1	minus	Kelch-like protein 36		0	protein-coding		KAK1890739.1	135	KUDE01_009570
CM062264.1	2868337	2869089	1	minus	LINE-1 type transposase domain containing protein 1		0	protein-coding		KAK1891763.1	250	KUDE01_010590
CM062264.1	2963301	2964182	1	minus	PiggyBac transposable element-derived protein 3		0	protein-coding		KAK1891404.1	293	KUDE01_010232
CM062264.1	3010817	3011817	1	minus	LINE-1 type transposase domain containing protein 1		0	protein-coding		KAK1891006.1	261	KUDE01_009836
CM062264.1	3098192	3098773	1	plus	Phenylalanine--tRNA ligase alpha subunit		0	protein-coding		KAK1890883.1	193	KUDE01_009714
CM062264.1	3129285	3136520	1	minus	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase		0	protein-coding		KAK1890697.1	142	KUDE01_009528
CM062264.1	3136525	3139855	1	plus	Cytochrome b-c1 complex subunit Rieske mitochondrial		0	protein-coding		KAK1891533.1	188	KUDE01_010361
CM062264.1	3182388	3185488	1	plus	Zinc finger protein 692		0	protein-coding		KAK1890675.1	258	KUDE01_009506
CM062264.1	3188699	3202330	1	plus	S-adenosylmethionine decarboxylase proenzyme		0	protein-coding		KAK1891048.1	382	KUDE01_009878
CM062264.1	3203171	3204579	1	minus	P2X purinoceptor 7		0	protein-coding		KAK1891358.1	256	KUDE01_010186
CM062264.1	3223803	3225221	1	minus	Zinc finger protein 202		0	protein-coding		KAK1890952.1	96	KUDE01_009783
CM062264.1	3237227	3240819	1	plus	Organic solute transporter subunit beta		0	protein-coding		KAK1891421.1	338	KUDE01_010249
CM062264.1	3242689	3247613	1	minus	Ras-like protein family member 12		0	protein-coding		KAK1891199.1	248	KUDE01_010027
CM062264.1	3255582	3255785	1	plus	Protein PAT1 like 1		0	protein-coding		KAK1891256.1	67	KUDE01_010084
CM062264.1	3255812	3257272	1	plus	BTB domain containing protein 13		0	protein-coding		KAK1891926.1	486	KUDE01_010750
CM062264.1	3259018	3266357	1	minus	Ubiquitin-associated protein 1-like		0	protein-coding		KAK1891140.1	346	KUDE01_009968
CM062264.1	3270597	3274798	1	minus	Programmed cell death protein 7		0	protein-coding		KAK1891817.1	479	KUDE01_010643
CM062264.1	3276041	3285143	1	plus	Maspardin		0	protein-coding		KAK1891693.1	319	KUDE01_010521
CM062264.1	3290085	3300997	1	minus	SHC SH2 domain-binding protein 1 like B		0	protein-coding		KAK1890877.1	693	KUDE01_009708
CM062264.1	3305656	3306606	1	plus	Protein TSSC4		0	protein-coding		KAK1891923.1	316	KUDE01_010747
CM062264.1	3308812	3310014	1	plus	Gap junction delta-2 protein		0	protein-coding		KAK1891649.1	400	KUDE01_010477
CM062264.1	3316366	3339252	1	minus	Endophilin-A3		0	protein-coding		KAK1890993.1	318	KUDE01_009823
CM062264.1	3358947	3375713	1	minus	Zinc finger protein basonuclin-1		0	protein-coding		KAK1890615.1	1096	KUDE01_009446
CM062264.1	3387986	3401348	1	minus	Myosin-6		0	protein-coding		KAK1890755.1	220	KUDE01_009586
CM062264.1	3478342	3480717	1	plus	Testis-specific serine/threonine-protein kinase 1		0	protein-coding		KAK1890981.1	323	KUDE01_009811
CM062264.1	3482796	3488322	1	plus	Hepatoma-derived growth factor-related protein 3		0	protein-coding		KAK1891091.1	221	KUDE01_009919
CM062264.1	3494042	3504054	1	plus	Histone-binding protein RBBP7		0	protein-coding		KAK1890619.1	427	KUDE01_009450
CM062264.1	3504220	3512007	1	minus	Alpha-taxilin		0	protein-coding		KAK1891892.1	410	KUDE01_010716
CM062264.1	3564327	3574375	1	plus	Coiled-coil domain containing protein 102A		0	protein-coding		KAK1890861.1	451	KUDE01_009692
CM062264.1	3574989	3585793	1	plus	Coiled-coil domain containing protein 102A		0	protein-coding		KAK1891032.1	188	KUDE01_009862
CM062264.1	3719387	3723471	1	plus	Cysteine synthase		0	protein-coding		KAK1891642.1	157	KUDE01_010470
CM062264.1	3755612	3789564	1	plus	Docking protein 4		0	protein-coding		KAK1891796.1	240	KUDE01_010622
CM062264.1	3820492	3852700	1	plus	Glutamine-dependent NAD(+) synthetase		0	protein-coding		KAK1891931.1	503	KUDE01_010755
CM062264.1	3854984	3877915	1	plus	Glutamine-dependent NAD(+) synthetase		0	protein-coding		KAK1891313.1	587	KUDE01_010141
CM062264.1	3878010	3878333	1	plus	Exophilin-5		0	protein-coding		KAK1891934.1	107	KUDE01_010758
CM062264.1	3898462	3917757	1	minus	Lamin-L(III)		0	protein-coding		KAK1891633.1	550	KUDE01_010461
CM062264.1	3985548	3988000	1	minus	G2/M phase-specific E3 ubiquitin-protein ligase		0	protein-coding		KAK1890984.1	428	KUDE01_009814
CM062264.1	3989567	4032878	1	plus	Anoctamin-9		0	protein-coding		KAK1890602.1	697	KUDE01_009433
CM062264.1	4051311	4067042	1	minus	Mucin-5AC		0	protein-coding		KAK1891708.1	476	KUDE01_010536
CM062264.1	4069896	4070510	1	plus	LINE-1 retrotransposable element ORF1 protein		0	protein-coding		KAK1890959.1	204	KUDE01_009790
CM062264.1	4118026	4139816	1	minus	Mucin-5AC		0	protein-coding		KAK1891280.1	1275	KUDE01_010108
CM062264.1	4151740	4163442	1	minus	Intestinal mucin-like protein		0	protein-coding		KAK1891158.1	1045	KUDE01_009986
CM062264.1	4163612	4165603	1	minus	Sialidase		0	protein-coding		KAK1891168.1	598	KUDE01_009996
CM062264.1	4166921	4167787	1	minus	Sialidase		0	protein-coding		KAK1890612.1	288	KUDE01_009443
CM062264.1	4168112	4168447	1	minus	Cell polarity protein alp21		0	protein-coding		KAK1891868.1	111	KUDE01_010693
CM062264.1	4168889	4169467	1	minus	hypothetical protein		0	protein-coding		KAK1891626.1	192	KUDE01_010454
CM062264.1	4169909	4170739	1	minus	Sialidase		0	protein-coding		KAK1891841.1	276	KUDE01_010666
CM062264.1	4172506	4193801	1	minus	Mucin-5AC		0	protein-coding		KAK1891904.1	1240	KUDE01_010728
CM062264.1	4228421	4234617	1	plus	U2 small nuclear ribonucleoprotein A'		0	protein-coding		KAK1890630.1	304	KUDE01_009461
CM062264.1	4236329	4254413	1	plus	Chondroitin sulfate synthase 1		0	protein-coding		KAK1891432.1	562	KUDE01_010260
CM062264.1	4289808	4291400	1	plus	Chondroitin sulfate synthase 1		0	protein-coding		KAK1890783.1	530	KUDE01_009614
CM062264.1	4389473	4390421	1	minus	Transposon TX1 uncharacterized 82 kDa protein		0	protein-coding		KAK1891237.1	316	KUDE01_010065
CM062264.1	4411228	4411566	1	plus	Dihydrofolate synthase/folylpolyglutamate synthase		0	protein-coding		KAK1890961.1	112	KUDE01_009792
CM062264.1	4411815	4459792	1	minus	Aldehyde dehydrogenase family 1 member A3		0	protein-coding		KAK1890696.1	488	KUDE01_009527
CM062264.1	4474821	4475815	1	minus	Aldehyde dehydrogenase cytosolic 1		0	protein-coding		KAK1891319.1	136	KUDE01_010147
CM062264.1	4537475	4544779	1	plus	Laminin subunit gamma-3		0	protein-coding		KAK1891325.1	76	KUDE01_010153
CM062264.1	4597574	4633700	1	plus	CD81 protein		0	protein-coding		KAK1891544.1	244	KUDE01_010372
CM062264.1	4644076	4654707	1	plus	Membrane protein insertase YidC		0	protein-coding		KAK1891547.1	78	KUDE01_010375
CM062264.1	4654751	4658335	1	plus	Armadillo repeat-containing protein 2		0	protein-coding		KAK1891149.1	215	KUDE01_009977
CM062264.1	4659505	4674540	1	plus	Plakophilin-3		0	protein-coding		KAK1891895.1	473	KUDE01_010719
CM062264.1	4688728	4706490	1	minus	Apoptosis regulator BAX		0	protein-coding		KAK1891224.1	210	KUDE01_010052
CM062264.1	4735769	4743337	1	plus	putative protein FAM241A		0	protein-coding		KAK1891557.1	83	KUDE01_010385
CM062264.1	4753523	4779072	1	plus	Anoctamin-1		0	protein-coding		KAK1891540.1	417	KUDE01_010368
CM062264.1	4800107	4807617	1	plus	Anoctamin-1		0	protein-coding		KAK1891012.1	268	KUDE01_009842
CM062264.1	4821458	4827442	1	minus	Low choriolytic enzyme		0	protein-coding		KAK1891856.1	197	KUDE01_010681
CM062264.1	4834744	4836243	1	plus	putative N-acetylmuramoyl-L-alanine amidase AmiB		0	protein-coding		KAK1890778.1	472	KUDE01_009609
CM062264.1	4836680	4837393	1	plus	HEAT repeat-containing protein 5A		0	protein-coding		KAK1890872.1	237	KUDE01_009703
CM062264.1	4843520	4845214	1	plus	Autoimmune regulator		0	protein-coding		KAK1891870.1	215	KUDE01_010695
CM062264.1	4845651	4847175	1	plus	Sterile alpha motif domain containing protein 3		0	protein-coding		KAK1891219.1	160	KUDE01_010047
CM062264.1	4885069	4895584	1	plus	Low choriolytic enzyme		0	protein-coding		KAK1891451.1	610	KUDE01_010279
CM062264.1	4925741	4945968	1	minus	Hybrid signal transduction histidine kinase J		0	protein-coding		KAK1891262.1	217	KUDE01_010090
CM062264.1	4950111	4994731	1	plus	Low choriolytic enzyme		0	protein-coding		KAK1891081.1	1125	KUDE01_009910
CM062264.1	5012803	5013588	1	plus	LINE-1 type transposase domain containing protein 1		0	protein-coding		KAK1891481.1	261	KUDE01_010309
CM062264.1	5046287	5047729	1	plus	High choriolytic enzyme 2		0	protein-coding		KAK1891430.1	107	KUDE01_010258
CM062264.1	5055798	5056073	1	minus	T-lymphoma invasion and metastasis-inducing protein 1		0	protein-coding		KAK1891494.1	91	KUDE01_010322
CM062264.1	5057128	5066791	1	minus	Low choriolytic enzyme		0	protein-coding		KAK1890795.1	511	KUDE01_009626
CM062264.1	5071484	5071936	1	plus	Proline-rich protein HUA1		0	protein-coding		KAK1891439.1	95	KUDE01_010267
CM062264.1	5087843	5088730	1	minus	LINE-1 type transposase domain containing protein 1		0	protein-coding		KAK1890624.1	295	KUDE01_009455
CM062264.1	5116817	5127332	1	minus	Low choriolytic enzyme		0	protein-coding		KAK1890908.1	593	KUDE01_009739
CM062264.1	5132323	5132562	1	plus	Gephyrin		0	protein-coding		KAK1891468.1	79	KUDE01_010296
CM062264.1	5133590	5141700	1	plus	E3 SUMO-protein ligase KIAA1586		0	protein-coding		KAK1890709.1	166	KUDE01_009540
CM062264.1	5151709	5158346	1	plus	WD repeat-containing protein 75		0	protein-coding		KAK1891825.1	172	KUDE01_010651
CM062264.1	5159363	5160904	1	minus	Protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1		0	protein-coding		KAK1890880.1	217	KUDE01_009711
CM062264.1	5167407	5175098	1	minus	Low choriolytic enzyme		0	protein-coding		KAK1891418.1	281	KUDE01_010246
CM062264.1	5179390	5180184	1	minus	E3 SUMO-protein ligase KIAA1586		0	protein-coding		KAK1890913.1	264	KUDE01_009744
CM062264.1	5228444	5269786	1	plus	Low choriolytic enzyme		0	protein-coding		KAK1891559.1	519	KUDE01_010387
CM062264.1	5293369	5293896	1	plus	putative wall-associated receptor kinase-like 13		0	protein-coding		KAK1891413.1	175	KUDE01_010241
CM062264.1	5295476	5306723	1	minus	Protein Lines like 1		0	protein-coding		KAK1890606.1	710	KUDE01_009437
CM062264.1	5318858	5325484	1	plus	Ankyrin repeat and SOCS box protein 7		0	protein-coding		KAK1890710.1	331	KUDE01_009541
CM062264.1	5370273	5370791	1	plus	Bifunctional protein GlmU		0	protein-coding		KAK1891848.1	138	KUDE01_010673
CM062264.1	5424705	5424929	1	minus	CRISPR-associated endonuclease Cas1 2		0	protein-coding		KAK1891018.1	74	KUDE01_009848
CM062264.1	5485335	5486329	1	minus	Aldehyde dehydrogenase cytosolic 1		0	protein-coding		KAK1890598.1	136	KUDE01_009429
CM062264.1	5595030	5595577	1	minus	Bifunctional protein GlmU		0	protein-coding		KAK1891220.1	147	KUDE01_010048
CM062264.1	5635773	5642384	1	minus	Ankyrin repeat and SOCS box protein 7		0	protein-coding		KAK1890942.1	327	KUDE01_009773
CM062264.1	5654388	5665670	1	plus	Protein Lines like 1		0	protein-coding		KAK1891732.1	710	KUDE01_010560
CM062264.1	5667071	5668052	1	minus	Sodium channel protein type 7 subunit alpha		0	protein-coding		KAK1891442.1	200	KUDE01_010270
CM062264.1	5707366	5709799	1	minus	putative cell wall amidase		0	protein-coding		KAK1890750.1	193	KUDE01_009581
CM062264.1	5756901	5765790	1	minus	Tryptophan 5-hydroxylase		0	protein-coding		KAK1890673.1	473	KUDE01_009504
CM062264.1	5770296	5790478	1	plus	AP-2 complex subunit alpha-2		0	protein-coding		KAK1891536.1	953	KUDE01_010364
CM062264.1	5795254	5799534	1	minus	Protein C19orf12 like		0	protein-coding		KAK1891279.1	141	KUDE01_010107
CM062264.1	5800613	5805319	1	plus	Tumor protein p53-inducible nuclear protein 1		0	protein-coding		KAK1891367.1	163	KUDE01_010195
CM062264.1	5805376	5810622	1	minus	putative protein F13E9.13 mitochondrial		0	protein-coding		KAK1891528.1	268	KUDE01_010356
CM062264.1	5812109	5820318	1	plus	G1/S-specific cyclin-E1		0	protein-coding		KAK1891486.1	443	KUDE01_010314
CM062264.1	5826715	5830595	1	minus	hypothetical protein		0	protein-coding		KAK1890638.1	594	KUDE01_009469
CM062264.1	5881708	5894493	1	plus	Glutathione hydrolase 1 proenzyme		0	protein-coding		KAK1891553.1	78	KUDE01_010381
CM062264.1	5926911	5929214	1	minus	E3 SUMO-protein ligase KIAA1586		0	protein-coding		KAK1890660.1	515	KUDE01_009491
CM062264.1	6039526	6052605	1	plus	hypothetical protein		0	protein-coding		KAK1891281.1	184	KUDE01_010109
CM062264.1	6227562	6230646	1	plus	Zinc finger protein 536		0	protein-coding		KAK1891513.1	780	KUDE01_010341
CM062264.1	6341330	6346862	1	plus	Zinc finger protein 536		0	protein-coding		KAK1891560.1	97	KUDE01_010388
CM062264.1	6388647	6389039	1	plus	hypothetical protein		0	protein-coding		KAK1890637.1	131	KUDE01_009468
CM062264.1	6432528	6432839	1	plus	hypothetical protein		0	protein-coding		KAK1890982.1	104	KUDE01_009812
CM062264.1	6436807	6437121	1	plus	G protein-activated inward rectifier potassium channel 1		0	protein-coding		KAK1891586.1	104	KUDE01_010414
CM062264.1	6502909	6515200	1	minus	Chaperone protein DnaJ		0	protein-coding		KAK1890658.1	319	KUDE01_009489
CM062264.1	6635426	6640260	1	minus	Teashirt like 3		0	protein-coding		KAK1891587.1	1256	KUDE01_010415
CM062264.1	6711689	6713664	1	plus	Solute carrier family 35 member F5		0	protein-coding		KAK1891372.1	57	KUDE01_010200
CM062264.1	6826670	6826909	1	minus	Eukaryotic translation initiation factor 3 subunit A		0	protein-coding		KAK1891209.1	80	KUDE01_010037
CM062264.1	6918379	6937847	1	minus	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]		0	protein-coding		KAK1891333.1	256	KUDE01_010161
CM062264.1	6977860	6978269	1	minus	G-type lectin S-receptor-like serine/threonine-protein kinase SD1-29		0	protein-coding		KAK1891745.1	107	KUDE01_010573
CM062264.1	6978559	6978930	1	minus	UvrABC system protein B		0	protein-coding		KAK1891867.1	123	KUDE01_010692
CM062264.1	7032724	7033418	1	minus	General transcription factor II-I repeat domain containing protein 2		0	protein-coding		KAK1890628.1	93	KUDE01_009459
CM062264.1	7083992	7084822	1	plus	Zinc finger protein 862		0	protein-coding		KAK1890763.1	276	KUDE01_009594
CM062264.1	7096716	7097459	1	minus	LINE-1 retrotransposable element ORF1 protein		0	protein-coding		KAK1891711.1	247	KUDE01_010539
CM062264.1	7116067	7116761	1	minus	General transcription factor II-I repeat domain containing protein 2		0	protein-coding		KAK1891011.1	93	KUDE01_009841
CM062264.1	7162670	7163341	1	plus	Zinc finger protein 507		0	protein-coding		KAK1891115.1	223	KUDE01_009943
CM062264.1	7163482	7189143	1	plus	Zinc finger protein 507		0	protein-coding		KAK1891392.1	766	KUDE01_010220
CM062264.1	7223029	7252666	1	plus	putative C-mannosyltransferase DPY19L3		0	protein-coding		KAK1890921.1	651	KUDE01_009752
CM062264.1	7269348	7279282	1	plus	putative C-mannosyltransferase DPY19L3		0	protein-coding		KAK1891454.1	158	KUDE01_010282
CM062264.1	7287925	7288592	1	minus	Cadherin-11		0	protein-coding		KAK1891203.1	189	KUDE01_010031
CM062264.1	7333503	7334893	1	minus	Cadherin-4		0	protein-coding		KAK1891336.1	112	KUDE01_010164
CM062264.1	7337432	7338095	1	plus	Vezatin		0	protein-coding		KAK1891792.1	165	KUDE01_010618
CM062264.1	7338661	7340145	1	plus	Protein NYNRIN		0	protein-coding		KAK1890960.1	435	KUDE01_009791
CM062264.1	7377677	7388681	1	minus	Neural-cadherin		0	protein-coding		KAK1891839.1	184	KUDE01_010664
CM062264.1	7403489	7478321	1	minus	Neural-cadherin		0	protein-coding		KAK1891483.1	939	KUDE01_010311
CM062264.1	7562715	7563224	1	plus	LINE-1 type transposase domain containing protein 1		0	protein-coding		KAK1891027.1	169	KUDE01_009857
CM062264.1	7708290	7708505	1	plus	Respiratory nitrate reductase 1 alpha chain		0	protein-coding		KAK1891382.1	71	KUDE01_010210
CM062264.1	7746538	7746943	1	plus	Monocarboxylate transporter 3		0	protein-coding		KAK1890649.1	63	KUDE01_009480
CM062264.1	7754468	7755655	1	minus	Protocadherin Fat 4		0	protein-coding		KAK1891066.1	395	KUDE01_009895
CM062264.1	7791173	7795843	1	plus	G2/M phase-specific E3 ubiquitin-protein ligase		0	protein-coding		KAK1891550.1	219	KUDE01_010378
CM062264.1	7796835	7797334	1	minus	putative transcriptional regulatory protein		0	protein-coding		KAK1891594.1	106	KUDE01_010422
CM062264.1	7949445	7958285	1	plus	Reticulocyte-binding protein 2 like a		0	protein-coding		KAK1891007.1	685	KUDE01_009837
CM062264.1	7962803	7975847	1	minus	Zinc finger BED domain containing protein 1		0	protein-coding		KAK1891821.1	464	KUDE01_010647
CM062264.1	7994204	8002316	1	minus	Bifunctional coenzyme A synthase		0	protein-coding		KAK1891445.1	89	KUDE01_010273
CM062264.1	8035637	8036524	1	plus	LINE-1 type transposase domain containing protein 1		0	protein-coding		KAK1891100.1	295	KUDE01_009928
CM062264.1	8115275	8120136	1	plus	THAP domain containing protein 10		0	protein-coding		KAK1890666.1	623	KUDE01_009497
CM062264.1	8276150	8277129	1	minus	ESX-5 secretion system protein EccC5		0	protein-coding		KAK1891733.1	143	KUDE01_010561
